video_id,title_processed,view_count,engagement_rate,cluster,cluster_kmeans,cluster_hierarchical,virality_index,content_quality,freshness_score
7XaLw-cpDIY,respond tir dúv tecnolog viv,1939,10.56701030927835,0,0,0,10.567010309278349,24418.67702108108,1.0
j9IFCXfBszo,anel afer pressã arterial ringcon gen vei pra mud tud,2337,15.78272027373824,0,0,0,15.782720273738239,4681.576422342343,1.0
RLvO0DXhKKg,ibm anunc chip tecnolog revolucionár,3526,13.609299688120217,0,0,14,13.609299688120213,16210.718358532817,1.0
uHlOHBYgE2E,relógi árbitr cop cust mil rea,4218,8.580232282531405,0,0,1,8.580232282531405,17140.953673621618,1.0
b18dW_MqxWw,iphon dour robert carl pod cust 10000,27827,7.122322840304729,6,6,14,7.122322840304729,11628.796434304055,1.0
BhOOd5a_lHc,balli jib cosm vector robôs pets der errad,4919,11.646341463414634,0,0,0,5.823170731707317,6631.346602783783,0.9672161004820059
SK5Ww0pz0J8,met lanc ócul inteligent kyli jenn,2756,10.228509249183896,10,10,14,5.114254624591948,6535.587085054054,0.9672161004820059
x2b4UprESWc,inss pass exig biometr benefíci soc,4512,10.104143585198315,10,10,14,3.3680478617327725,15389.922492277992,0.9355069850316178
hTOKi6EXEZQ,mud tud sistem fech apple,10624,8.92235294117647,0,0,0,2.9741176470588235,5044.076922275298,0.9355069850316178
Xi6Q7pGPx8A,iphon 128gb aind faz sent,5468,12.013165112452002,10,10,14,4.004388370817334,6061.577472291891,0.9355069850316178
TQlTsULs7xQ,biciclet xiaom transform calor bat,15396,4.357991816587647,2,2,14,1.4526639388625489,7421.362624054053,0.9355069850316178
33XgQscQ69o,airpods câm iphon ano vem,5747,13.48295059151009,10,10,14,3.3707376478775233,7191.539781502702,0.9048374180359595
Px2W_m5gctM,xiaom 17t primeir impressõ anális estad atual hyper,17722,10.342492805958358,0,0,0,2.5856232014895904,3037.14888321904,0.9048374180359595
qdKO3LY_07A,tud sab sobr alert extrem defes civil,12899,10.604651162790695,10,10,14,2.6511627906976742,14657.735270675676,0.9048374180359595
9hIc8q-mcqY,nov sir integr gemin apple intelligenc final nasc,4229,13.002364066193852,10,10,14,3.250591016548463,16249.193164763512,0.9048374180359595
WgUBxjmtwy0,produt val pen compr usad,9488,10.116977552956056,6,6,0,2.023395510591211,22766.825340243242,0.8751733190429475
RpSVpFr2qDQ,mund compr kodak charm câm digital baix fidel,12814,6.531408505657432,0,0,0,1.3062817011314865,4121.822719670975,0.8751733190429475
5vvcH0Oj1cc,celul carreg devag,30813,9.463230998896606,10,10,14,1.5772051664827673,12230.713402890928,0.8464817248906141
xyJRRIo4axs,saind dobrável celul barr sid,27269,11.342134213421344,0,0,0,1.8903557022368904,4249.691324702702,0.8464817248906141
0nfO7u_u6wE,samsung odyssey oled tud,8281,10.396039603960396,8,8,2,1.485148514851485,2708.6263586409273,0.8187307530779818
vCdZ9jvVWXk,influenc divulg cas apost ileg penaliz,4823,13.41210613598673,10,10,14,1.9160151622838193,10841.34540011583,0.8187307530779818
DQRAj0zgDgY,apple lib sideload iphon,7009,11.940085592011412,10,10,1,1.7057265131444874,12299.113058412162,0.8187307530779818
LF4W3gCFTHs,ios final troux algo nov anális,20839,7.293666026871401,0,0,0,0.9117082533589251,7507.953677320298,0.7918895663367816
KwsF0nw962Y,prec iphon vai aument news,5549,10.234234234234236,10,10,14,1.2792792792792793,33815.07969831081,0.7918895663367816
2AawWkpiqmQ,tecnolog escond uniform brasil camp,5148,7.904447465527287,0,0,14,0.9880559331909109,48597.95524783784,0.7918895663367816
Z9a8TG-W5fM,alex plus cheg brasil,11074,7.665914221218961,10,10,14,0.9582392776523703,10470.547267553342,0.7918895663367816
YvGFaHPanBM,apple watch novinh atualiz,4402,12.605042016806722,10,10,13,1.4005602240896358,9268.153323127415,0.7659283383646487
_YV7xPCsDyM,galaxy s21 ultra ráp s26 ultra one,44887,9.715291391908751,0,0,14,1.0794768213231947,3971.3170961704445,0.7659283383646487
rNdQnBSPjhU,jog delay,3899,11.076923076923077,7,7,14,1.2307692307692306,17037.21419608108,0.7659283383646487
GGhPo8n29O4,tax blusinh volt 2027,12287,12.727864583333334,10,10,14,1.2727864583333335,8275.581049256756,0.7408182206817179
SjvPx4jv_BE,android cheg vej mud atualiz,11520,9.26134884124642,10,10,14,0.926134884124642,8577.080941481827,0.7408182206817179
L5sFm3tyscM,trump phon imposs fabric smartphon eua,17916,9.650053022269352,0,0,0,0.9650053022269353,5677.1714082625485,0.7408182206817179
YZX8Bbbdl6w,ref cam funcion câm pov árbitr,3041,12.886259040105196,0,0,14,1.2886259040105195,46802.464290405405,0.7408182206817179
dXz9aVmSVHc,comput cervej cpus diferent computex 2026,15698,5.465316262182304,8,8,2,0.5465316262182305,18455.47068972973,0.7408182206817179
cL1pOwLRmfc,apple watch vend ano pass atualiz,24953,6.696321231065159,0,0,0,0.6087564755513782,3334.4832066602316,0.7165313105737893
0IBWnmL6p5A,zagueir cab verd convoc linkedin,3452,14.074717636837534,10,10,14,1.2795197851670486,23078.043772864865,0.7165313105737893
3WXKxthNhp8,univers ragnark onlin lat acab fic aind maior,2027,11.341222879684418,10,10,14,1.0310202617894926,18194.308368648646,0.7165313105737893
5jgRyZq6R0c,rein unid ban crianc adolescent red soc,6812,16.894172904740937,0,0,14,1.5358339004309942,5064.205264553016,0.7165313105737893
rDwfTe6W8bw,vem ver react wwdc tod apresent grav usand iphon,20630,2.6416557607483884,0,0,0,0.2201379800623657,65116.47205621621,0.6930406200864415
kIwEH2ED7pM,aprend pos huaw pur pra ver vir rei estil,4560,12.69458452093839,0,0,0,1.0578820434115326,15188.523506576576,0.6930406200864415
ZgYI_K5roQ0,sab marc aind lanc celul ram,19874,14.626415094339624,0,0,0,1.218867924528302,12418.268367405408,0.6930406200864415
ArFsPz-QB1k,proteg melhor gerenc senh penegu dav mikael,9567,11.862458193979933,0,0,0,0.9885381828316611,5672.710561163337,0.6930406200864415
g5Z4EDy4oys,afinal ipad substitu notebook,11044,9.65142598460842,0,0,0,0.7424173834314168,5566.021968040541,0.6703200460356393
x_64kCPWsnk,iphon pro s26 ultra corrig rost,13989,6.325947105075054,10,10,14,0.48661131577500416,9401.84355891892,0.6703200460356393
rPXNScP65cA,comput pod pass exig verific idad inicializ brev,13056,11.64126522172015,0,0,0,0.8315189444085821,2437.9950745528618,0.6483443410015097
b1XgJvfPsIQ,acident radioat usp,20115,14.893617021276595,0,0,0,1.0638297872340428,44602.98786755068,0.6483443410015097
P9QDxE0jmWs,s26 ultra melhor smartphon merc atual,5106,7.73448208341492,0,0,14,0.5524630059582086,9240.79346091892,0.6483443410015097
i5MC-iz-aLE,ios atualiz ganh trabalh,7398,11.461008244357346,10,10,1,0.7640672162904897,40410.516481945946,0.6270890852730561
f80wEli0f90,copi iphon encher anúnci vir fórmul celul chines,36837,9.001574461154242,0,0,0,0.6001049640769496,4544.2506079273835,0.6270890852730561
hxomt6kQseE,sab bol cop precis carreg tom,2996,5.505505505505505,0,0,14,0.36703370036703376,13007.334491621621,0.6270890852730561
TCtOygxw4b8,gta prévend normaliz r550 ste machin paradox apple aind car semmanual,1561,6.402048655569782,0,0,0,6.402048655569782,5275.492074224343,1.0
oLFgZvP2WO0,apple aument prec brasil gta prec 550 opena anunc process,5480,17.66101076445904,0,0,0,17.661010764459043,5479.80898654454,1.0
oapMtzbemcs,olha updat windows,5918,7.957425240750126,19,19,14,7.957425240750127,10050.628199140812,1.0
kA9BFJvfvH4,iphon robert carl pod cust 100 mil iphon apple,10581,5.575505575505575,0,0,14,5.575505575505575,4068.111413937947,1.0
FRWbYRT9S74,roub relógi árbitr,10489,5.014299332697807,0,0,14,5.014299332697807,12520.984625192257,1.0
DtPy7SBDKmU,histór evolu supercomput máquin faz quintilhõ cálcul,2150,21.524872152487216,0,0,0,21.52487215248722,5095.1578362014825,1.0
nGtmhuTuSFg,mud pix aproxim agor limit,8135,6.563421828908554,0,0,14,3.281710914454277,14330.847026372314,0.9672161004820059
KbaIdqHQHSQ,clim redaçã tecmund copadomund cop futebol,1426,2.102312543798178,10,10,14,1.0511562718990892,3154.4179412887825,0.9672161004820059
TtZyO2J0p6A,gta disc 100 apagã instagr microsoft rebat med biometr inss,8658,13.7429264349232,0,0,0,6.871463217461601,7879.246538693317,0.9672161004820059
9KhNmdnhxBQ,viu iphon dour robert carloscopa2026 iphonedour robertocarl,16399,2.067073170731708,10,10,14,1.0335365853658538,2998.352286022621,0.9672161004820059
K-O-PYj_Gws,elon musk deix trilionári entend qued bilionár elonmusk spacex,13686,8.402133411266165,0,0,14,4.201066705633083,3694.8839463156323,0.9672161004820059
y7hb00qmoMQ,saveir vir mascot cop mund,8468,6.210886763490377,10,10,1,3.105443381745188,3604.0131421161495,0.9672161004820059
hWMnK5pFhzY,nucel chip nubank bat milhã,3648,10.167169087421213,0,0,14,5.083584543710606,7139.466312258624,0.9672161004820059
RBKXct_jvPs,agor precis junt 15000 robôaspir smarthom dream aspiradorrob rob cas,4649,9.010752688172042,10,10,9,4.505376344086022,12835.217830071599,0.9672161004820059
DkOJFsQ7AL4,mistéri alert misantrop resolv,5549,8.198198198198197,0,0,14,4.0990990990990985,9702.554495274462,0.9672161004820059
iazOyY0JeRM,xiaom 17t pro review val pen compr,1374,9.6,0,0,14,4.799999999999999,7015.860593556085,0.9672161004820059
8kg8HR2l7uY,sony ps5 fim exclus,8813,7.1250283639664165,8,8,2,2.3750094546554723,6002.29370019527,0.9355069850316178
AMGoWjUXGiQ,anúnci ócul met barat sony abandon exclus pix nubank musk trump,11317,14.07492489839194,0,0,0,4.691641632797313,4468.513765851771,0.9355069850316178
h8BGuPFhkAY,met surpreend nov ócul met metagl,3393,8.927519151443725,10,10,14,2.975839717147908,7130.676572261999,0.9355069850316178
cZuqMYC-mlk,nov melhor fabl mythos,6526,6.940401409529646,0,0,14,2.3134671365098822,3897.700329753381,0.9355069850316178
xp0tyn_qcPw,koenigsegg leg bat record,6093,6.383327863472268,10,10,14,2.1277759544907555,16751.046998568017,0.9355069850316178
tYGNcGgtExI,fal supost hack defes civil vej sab sobr alert extrem misantrop,7947,8.83241066935078,0,0,0,2.944136889783593,1647.5134916234938,0.9355069850316178
